episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -10615.29774570465, 2, 23.438248140000724, 1095, 26050,                                             26050, 7.918102741241455, 272.94012451171875
2, -7295.859317660332, 2, 26.209602896000433, 1180, 27230,                                             27230, 8.048869132995605, 284.04913330078125
3, -7368.301979064941, 2, 25.859851491999507, 1169, 28399,                                             28399, 8.328448295593262, 287.1756591796875
4, -3632.270904481411, 2, 12.999324251999496, 590, 28989,                                             28989, 8.340986251831055, 290.321533203125
5, -5513.881563544273, 2, 14.751920073998917, 664, 29653,                                             29653, 8.620343208312988, 292.991943359375
6, -5078.945545434952, 2, 16.584124887000144, 740, 30393,                                             30393, 8.63025951385498, 294.0552673339844
7, -5722.273088872433, 2, 14.998553667001033, 675, 31068,                                             31068, 9.222739219665527, 297.3704528808594
8, -4059.1918983459473, 2, 8.932706695999514, 392, 31460,                                             31460, 8.883413314819336, 295.4327087402344
9, -3443.9096745848656, 2, 12.189236534999509, 549, 32009,                                             32009, 9.183616638183594, 297.6986389160156
10, -4981.1263083815575, 2, 15.2095623289988, 683, 32692,                                             32692, 9.17591381072998, 298.2680358886719
11, -3871.226516842842, 2, 10.1729708999992, 442, 33134,                                             33134, 8.704060554504395, 299.47296142578125
12, 2017.663996875286, 1, 8.962696975000654, 394, 33528,                                             33528, 9.479375839233398, 300.7697448730469
