episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -23609.580600500107, 2, 37.017217066999365, 2609, 25247,                                             25247, 7.193586349487305, 147.66932678222656
2, -7644.639901638031, 3, 17.73318863300119, 1229, 26476,                                             26476, 6.93740701675415, 158.6862030029297
3, -4161.308000802994, 2, 5.315963025999736, 347, 26823,                                             26823, 7.918105125427246, 163.02395629882812
4, -6949.140296220779, 2, 19.778407241999957, 1367, 28190,                                             28190, 7.570755481719971, 166.60142517089844
5, -3420.6319293379784, 2, 5.315244118000919, 347, 28537,                                             28537, 7.707292079925537, 169.1582489013672
6, -3543.2482182979584, 2, 5.52838462499858, 343, 28880,                                             28880, 7.824143886566162, 171.2947998046875
7, -6143.413437962532, 2, 12.140090344999408, 825, 29705,                                             29705, 8.697625160217285, 173.98318481445312
8, -3781.2985904216766, 2, 5.528585658999873, 353, 30058,                                             30058, 8.913311004638672, 175.99436950683594
9, -3366.021041035652, 2, 5.5197827800002415, 358, 30416,                                             30416, 8.7174711227417, 178.46771240234375
10, -3930.604698896408, 2, 4.928169738001088, 339, 30755,                                             30755, 8.375750541687012, 179.50257873535156
11, -3837.502675294876, 2, 5.810624547999396, 380, 31135,                                             31135, 8.296049118041992, 183.09019470214844
12, -7972.435693979263, 2, 7.533737458001269, 520, 31655,                                             31655, 9.51404094696045, 184.73362731933594
13, -4196.627019405365, 2, 5.5168946309986495, 359, 32014,                                             32014, 9.566219329833984, 189.8663787841797
14, -9362.646803021431, 3, 15.159141513999202, 1041, 33055,                                             33055, 10.24752140045166, 190.51580810546875
15, -13421.405974030495, 2, 25.790079852000417, 1753, 34808,                                             34808, 10.054449081420898, 197.687744140625
16, -15590.112100303173, 2, 38.03023561000009, 2633, 37441,                                             37441, 10.727423667907715, 209.36094665527344
17, -960.2437829971313, 1, 8.924366126999303, 602, 38043,                                             38043, 12.051825523376465, 218.56057739257812
18, -29095.369656562805, 4, 50.069504090999544, 3466, 41509,                                             41509, 12.369769096374512, 234.81903076171875
19, -4418.945072650909, 2, 6.924926839999898, 460, 41969,                                             41969, 13.33552074432373, 249.93408203125
20, 2133.956706404686, 1, 4.722153701999559, 316, 42285,                                             42285, 13.773860931396484, 249.84446716308594
21, -13211.918948054314, 2, 32.895547460999296, 2264, 44549,                                             44549, 14.314745903015137, 260.56878662109375
22, -7181.265791654587, 2, 13.954616987000918, 952, 45501,                                             45501, 14.873379707336426, 273.29949951171875
23, -8315.880737364292, 3, 27.986694744000488, 1920, 47421,                                             47421, 15.498583793640137, 281.7481689453125
24, -11109.158674836159, 4, 49.65203520399882, 3438, 50859,                                             50859, 16.60207748413086, 294.44805908203125
25, -8554.315168738365, 3, 28.78685390999999, 1969, 52828,                                             52828, 17.38966178894043, 310.06707763671875
26, -13275.92616134882, 2, 48.86426785900039, 3368, 56196,                                             56196, 18.03185272216797, 324.0288391113281
27, -5182.779839038849, 2, 8.7276338820011, 584, 56780,                                             56780, 18.8897705078125, 340.0062561035156
28, -8415.604165434837, 3, 23.18183453399979, 1601, 58381,                                             58381, 19.405908584594727, 343.37384033203125
29, -4611.688192486763, 2, 10.330091306001123, 696, 59077,                                             59077, 19.557235717773438, 348.9535827636719
30, -10799.792145252228, 2, 19.773853779999627, 1354, 60431,                                             60431, 20.012619018554688, 356.9540100097656
31, -3816.2873702049255, 2, 5.417358795999462, 352, 60783,                                             60783, 20.813926696777344, 368.0080871582031
32, -5926.537754774094, 2, 11.147180324000146, 762, 61545,                                             61545, 20.904279708862305, 367.2994079589844
33, -6718.353454351425, 2, 12.338597899000888, 828, 62373,                                             62373, 20.89975357055664, 375.1419372558594
34, -4574.661823630333, 2, 11.14063247500053, 764, 63137,                                             63137, 20.836332321166992, 373.4073486328125
35, -5343.61105799675, 2, 11.13995599899863, 752, 63889,                                             63889, 21.302438735961914, 381.6310729980469
36, -9483.355830192566, 2, 12.751390281999193, 875, 64764,                                             64764, 21.56304168701172, 387.0699157714844
37, -5182.01389336586, 2, 7.93810531499912, 543, 65307,                                             65307, 22.129085540771484, 387.6430969238281
38, -5449.940624713898, 2, 7.725482854000802, 516, 65823,                                             65823, 22.14847755432129, 398.64691162109375
39, -4760.8302981853485, 2, 7.537164755000049, 516, 66339,                                             66339, 22.58933448791504, 396.5202331542969
40, -6030.401296854019, 3, 10.336147772999539, 699, 67038,                                             67038, 22.69168472290039, 404.3921813964844
41, -4411.288137435913, 2, 7.441272910000407, 504, 67542,                                             67542, 22.817821502685547, 405.7342834472656
42, -5426.650037050247, 3, 10.126297361999605, 686, 68228,                                             68228, 22.79052734375, 408.8016052246094
43, -3809.4755494594574, 2, 7.322627752000699, 491, 68719,                                             68719, 23.927589416503906, 410.46624755859375
44, -5746.308779478073, 2, 10.538290089998554, 710, 69429,                                             69429, 23.292795181274414, 413.3248291015625
45, -5016.423968553543, 3, 9.931724789001237, 657, 70086,                                             70086, 23.520366668701172, 417.9449157714844
46, -4749.274894952774, 3, 10.33036002100016, 691, 70777,                                             70777, 23.55177116394043, 424.1095275878906
47, -7737.82905459404, 2, 15.945554765999987, 1077, 71854,                                             71854, 24.400651931762695, 428.9049987792969
48, -6447.108206868172, 2, 10.734155336000185, 723, 72577,                                             72577, 24.56591796875, 435.9688415527344
49, 2190.3978878855705, 1, 4.12519626699941, 281, 72858,                                             72858, 25.52223014831543, 444.4419250488281
50, -6871.166058063507, 2, 11.93556268499924, 809, 73667,                                             73667, 26.203989028930664, 446.1992492675781
51, -4943.518677711487, 2, 8.246784183998898, 562, 74229,                                             74229, 25.93272590637207, 450.0956115722656
52, -17991.552320241928, 2, 29.99333632300113, 2052, 76281,                                             76281, 26.45948028564453, 458.5233154296875
53, -8632.791502475739, 2, 10.144683119000547, 688, 76969,                                             76969, 27.052820205688477, 475.880859375
54, -8682.083143234253, 2, 14.943377375999262, 1011, 77980,                                             77980, 27.267887115478516, 477.5878601074219
55, -6673.163370370865, 2, 7.324969311001041, 479, 78459,                                             78459, 27.8001766204834, 488.2942199707031
56, -25982.937186717987, 2, 47.64718586500021, 3254, 81713,                                             81713, 28.022064208984375, 494.3873291015625
57, -21110.405915379524, 2, 36.80056927899932, 2510, 84223,                                             84223, 29.056501388549805, 516.209228515625
58, -4003.261065721512, 2, 6.13556072099891, 413, 84636,                                             84636, 29.82099151611328, 528.4810791015625
59, -7255.153250277042, 2, 11.73175378400083, 781, 85417,                                             85417, 29.713777542114258, 532.471435546875
60, -8235.996843576431, 2, 18.97289338399969, 1298, 86715,                                             86715, 30.167816162109375, 538.7861938476562
61, -7769.809818029404, 2, 17.249435916000948, 1171, 87886,                                             87886, 29.250947952270508, 541.1029663085938
62, -13777.781872153282, 2, 20.57722322599875, 1404, 89290,                                             89290, 30.089078903198242, 547.4019165039062
63, -5050.578246116638, 2, 8.927821998999207, 600, 89890,                                             89890, 30.658056259155273, 559.056640625
64, -4099.095588207245, 2, 5.529576218999864, 380, 90270,                                             90270, 31.29418182373047, 557.5486450195312
65, -13328.37369132042, 2, 39.216735998999866, 2675, 92945,                                             92945, 30.540040969848633, 559.82666015625
66, -4299.1587500572205, 2, 6.320997675000399, 410, 93355,                                             93355, 31.1408748626709, 564.14990234375
67, -5979.405635416508, 3, 10.946264811998844, 741, 94096,                                             94096, 31.953441619873047, 572.2665405273438
68, -7368.87596988678, 2, 15.955007467999167, 1057, 95153,                                             95153, 32.250083923339844, 576.4414672851562
69, -4840.327824354172, 2, 6.12089652800023, 394, 95547,                                             95547, 30.973941802978516, 580.5755615234375
70, -6281.958198547363, 2, 7.325869745000091, 480, 96027,                                             96027, 31.470796585083008, 577.6997680664062
71, -4257.658007144928, 2, 6.8244987670004775, 464, 96491,                                             96491, 32.099388122558594, 580.3475952148438
